NGI ID	User ID	Mreads	≥Q30
P26207_458	597	43.55	90.70
P26207_459	1068	28.63	89.58
P26207_460	1266	46.93	89.24
P26207_461	503	48.62	91.11
P26207_462	397N	34.99	91.43
P26207_463	543	39.28	91.86
P26207_464	1435	48.38	91.44
P26207_465	608	28.81	90.69
P26207_466	862	25.67	89.39
P26207_467	866	31.88	90.63
P26207_468	1069	28.42	90.74
P26207_469	1433	19.93	90.28
P26207_470	1275	33.92	90.46
P26207_471	1377	10.46	87.24
P26207_472	397P	31.29	90.75
P26207_473	1168	28.57	90.66
P26207_474	397O	27.71	90.28
P26207_475	804	38.83	90.71
P26207_476	504	22.95	90.47
P26207_477	986	40.09	90.61
P26207_478	1113	29.85	90.46
P26207_479	1387	19.90	88.80
P26207_480	591	31.68	90.39
P26207_481	603	31.64	89.85
P26207_482	1429	14.50	90.00
P26207_483	397A	34.37	89.63
P26207_484	1167	33.37	90.15
P26207_485	IT6	26.31	90.33
P26207_486	955	37.25	90.31
P26207_487	1407	28.10	90.05
P26207_488	596	35.43	91.52
P26207_489	1420	33.25	89.31
P26207_490	1426	24.40	90.70
P26207_491	1104	32.65	89.66
P26207_492	1469	29.47	90.72
P26207_493	960	24.42	90.18
P26207_494	1273	36.36	90.75
P26207_501	1026	33.71	87.58
P26207_502	525	25.55	86.27
P26207_503	1177	28.81	87.38
P26207_504	1430	27.72	87.68
P26207_505	1449	36.13	87.61
P26207_506	1477	37.23	88.13
P26207_507	1274	24.40	87.69
P26207_508	419	33.97	87.30
P26207_509	517	26.78	87.16
P26207_510	1382	19.78	86.46
P26207_511	519	30.03	87.31
P26207_512	526	23.08	84.59
P26207_513	1175	37.83	87.31
P26207_514	987	32.19	87.83
P26207_515	1115	33.11	87.22
P26207_516	982	18.12	85.37
P26207_517	1399	34.83	87.64
P26207_518	1416	32.24	85.19
P26207_519	595	32.32	86.96
P26207_520	1455	34.73	87.38
P26207_521	976	29.99	87.74
P26207_522	1121	33.54	86.65
P26207_523	1021	35.61	87.69
P26207_524	988	29.52	87.43
P26207_525	1411	29.89	87.93
P26207_526	1415	41.24	87.47
P26207_527	969	35.91	87.88
P26207_528	1154	32.40	87.71
P26207_529	1413	26.84	87.40
P26207_530	1480	30.88	87.39
P26207_531	527	27.60	87.17
P26207_532	1457	35.39	87.35
P26207_533	1439	29.81	87.35
P26207_534	1453	31.03	87.48
P26207_535	1169	34.80	87.38
P26207_536	1173	36.39	87.39
P26207_537	433	32.42	87.33
P26207_538	1479	26.65	86.79
P26207_539	1151	38.87	87.48
P26207_540	1122	32.13	87.57
P26207_541	1010	37.78	87.52
P26207_542	812	19.58	84.49
